Entity Name,Branch Region,Branch,Division,Due Date,Top Level Customer ID,Top Level Customer Name,Customer ID,Customer,Billing Group ID,Billing Group,Invoice ID,Invoice #,Issue Date,Total,Outstanding,Delivery,Status,FY
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,91,Kelco Constructions,91,Kelco Constructions,,,16359,INV0001,2022-08-25,5621.08,5621.08,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,96,Green Civil Con Pty ltd,96,Green Civil Con Pty ltd,,,16383,INV0024,2022-08-25,2573.82,2573.82,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,93,Devcon Civil,93,Devcon Civil,,,16381,INV0023,2022-08-25,2820.15,2820.15,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,93,Devcon Civil,93,Devcon Civil,,,16380,INV0022,2022-08-25,2820.15,2820.15,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,93,Devcon Civil,93,Devcon Civil,,,16379,INV0021,2022-08-25,2897.66,2897.66,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,93,Devcon Civil,93,Devcon Civil,,,16378,INV0020,2022-08-25,924.19,924.19,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,93,Devcon Civil,93,Devcon Civil,,,16376,INV0018,2022-08-25,415.34,415.34,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,93,Devcon Civil,93,Devcon Civil,,,16375,INV0017,2022-08-25,428.77,428.77,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16374,INV0016,2022-08-25,1188.46,1188.46,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,93,Devcon Civil,93,Devcon Civil,,,16373,INV0015,2022-08-25,1016.66,1016.66,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,93,Devcon Civil,93,Devcon Civil,,,16372,INV0014,2022-08-25,1016.66,1016.66,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16377,INV0019,2022-08-25,2350.65,2350.65,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16370,INV0012,2022-08-25,1352.08,1352.08,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16369,INV0011,2022-08-25,1352.08,1352.08,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16368,INV0010,2022-08-25,2835.81,2835.81,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16366,INV0008,2022-08-25,2634.27,2634.27,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16365,INV0007,2022-08-25,1891.71,1891.71,Email/PDF,Sent,22/23
