Entity Name,Branch Region,Branch,Division,Due Date,Top Level Customer ID,Top Level Customer Name,Customer ID,Customer,Billing Group ID,Billing Group,Invoice ID,Invoice #,Issue Date,Total,Outstanding,Delivery,Status
Connect Resources (QLD) Pty Ltd,,,,14.10.2023,127,BGI Group,127,BGI Group,,,24050,QLD1046,2023-09-30,2123.55,2123.55,Email/PDF,Viewed
Connect Resources (QLD) Pty Ltd,,,,14.10.2023,127,BGI Group,127,BGI Group,,,24051,QLD1047,2023-09-30,3362.29,3362.29,Email/PDF,Sent
Connect Resources (QLD) Pty Ltd,,,,14.10.2023,129,NuGrow Pty Ltd,129,NuGrow Pty Ltd,,,24052,QLD1048,2023-09-30,1413.93,1413.93,Email/PDF,Sent
Connect Resources (QLD) Pty Ltd,,,,14.10.2023,129,NuGrow Pty Ltd,129,NuGrow Pty Ltd,,,24053,QLD1049,2023-09-30,1833.61,1833.61,Email/PDF,Sent
Connect Resources (QLD) Pty Ltd,,,,14.10.2023,127,BGI Group,127,BGI Group,,,24182,QLD1050,2023-09-30,2689.83,2689.83,Email/PDF,Sent
Connect Resources (QLD) Pty Ltd,,,,14.10.2023,159,Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions,159,Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions,,,24183,QLD1051,2023-09-30,956.18,956.18,Email/PDF,Sent
Connect Resources (QLD) Pty Ltd,,,,14.10.2023,159,Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions,159,Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions,,,24184,QLD1052,2023-09-30,327.12,327.12,Email/PDF,Sent
Connect Resources (QLD) Pty Ltd,,,,14.10.2023,159,Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions,159,Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions,,,24185,QLD1053,2023-09-30,629.07,629.07,Email/PDF,Sent
Connect Resources (QLD) Pty Ltd,,,,30.10.2023,159,Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions,159,Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions,,,24337,QLD1057,2023-10-16,993.72,993.72,Email/PDF,Sent
Connect Resources (QLD) Pty Ltd,,,,30.10.2023,159,Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions,159,Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions,,,24336,QLD1056,2023-10-16,993.72,993.72,Email/PDF,Sent
Connect Resources (QLD) Pty Ltd,,,,30.10.2023,127,BGI Group,127,BGI Group,,,24334,QLD1054,2023-10-16,2831.4,2831.4,Email/PDF,Sent
Connect Resources (QLD) Pty Ltd,,,,30.10.2023,127,BGI Group,127,BGI Group,,,24335,QLD1055,2023-10-16,2123.55,2123.55,Email/PDF,Sent
Connect Resources (QLD) Pty Ltd,,,,9.11.2023,159,Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions,159,Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions,,,24633,QLD1065,2023-10-26,2139.73,2139.73,Email/PDF,Sent
Connect Resources (QLD) Pty Ltd,,,,9.11.2023,135,Yeti Services,135,Yeti Services,,,24636,QLD1068,2023-10-26,2931.4,2931.4,Email/PDF,Sent
Connect Resources (QLD) Pty Ltd,,,,9.11.2023,159,Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions,159,Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions,,,24635,QLD1067,2023-10-26,498.05,498.05,Email/PDF,Sent
